A,B,Opcode,ShiftAmount,Result,isNE,isLT,Overflow
305419896,?,5,0,305419896,?,?,?
305419896,?,5,1,152709948,?,?,?
305419896,?,5,31,0,?,?,?
2147483648,?,5,0,2147483648,?,?,?
2147483648,?,5,1,3221225472,?,?,?
2147483648,?,5,31,4294967295,?,?,?
4294967295,?,5,0,4294967295,?,?,?
4294967295,?,5,16,4294967295,?,?,?
65535,?,5,16,0,?,?,?
305419896,?,5,4,19088743,?,?,?
305419896,?,5,8,1193046,?,?,?
305419896,?,5,16,4660,?,?,?
305419896,?,5,24,18,?,?,?
305419896,?,5,31,0,?,?,?
1,?,5,5,0,?,?,?
1,?,5,10,0,?,?,?
1,?,5,15,0,?,?,?
1,?,5,20,0,?,?,?
1,?,5,25,0,?,?,?
1,?,5,30,0,?,?,?
